Saved Date,Job Url,Job Title,Company Name
"6/30/25, 12:56 AM",http://www.linkedin.com/jobs/view/4226783251,Bid Manager till Aspia,Aspia
"6/1/24, 2:14 AM",http://www.linkedin.com/jobs/view/3915044813,Bid Writer,Tendium
"10/3/24, 5:38 AM",http://www.linkedin.com/jobs/view/4026040000,,
"7/4/24, 2:15 AM",http://www.linkedin.com/jobs/view/3960513277,Bid and Contracting Manager,Stella Rekrytering & Ledarskap
"3/20/25, 7:19 AM",http://www.linkedin.com/jobs/view/4186256163,Key Account Manager,Diploma
"3/30/25, 4:06 PM",http://www.linkedin.com/jobs/view/4175877812,Utvecklingsingenjör,Jönköpings kommun
"9/4/23, 9:22 AM",http://www.linkedin.com/jobs/view/3687036449,Bid Manager,Adapteo Sverige
"1/20/22, 12:25 AM",http://www.linkedin.com/jobs/view/2877862480,"Projektledare - Vattenfall Services, Nässjö",Vattenfall
"2/15/24, 9:38 PM",http://www.linkedin.com/jobs/view/3784506594,Sales Manager (m/w/d) - Sweden (Working from Home),seca – precision for health
"1/5/22, 11:25 AM",http://www.linkedin.com/jobs/view/2865515339,Ljusdesigner,Aura Light
"11/17/21, 7:00 AM",http://www.linkedin.com/jobs/view/2764966314,Bid Manager,Orange Cyberdefense
"11/9/23, 11:30 AM",http://www.linkedin.com/jobs/view/3761020768,Bid Manager till Axentia Technologies AB,Axentia Technologies AB
"1/14/25, 10:22 PM",http://www.linkedin.com/jobs/view/4106760199,Projektledare Lokalnät till Nässjö eller Högsby,Vattenfall
"4/21/24, 12:13 PM",http://www.linkedin.com/jobs/view/3906582284,Lichtdesigner,Nystart Consulting
"2/18/24, 6:10 PM",http://www.linkedin.com/jobs/view/3801117719,Produktfotograf (med avdelningsansvar för Fotostudion) - Intersport Centrallager Nässjö,INTERSPORT Sverige
"1/6/25, 7:50 PM",http://www.linkedin.com/jobs/view/4094442145,Inköpare till Svevia,Svevia
"10/1/24, 5:53 PM",http://www.linkedin.com/jobs/view/4025689970,Procurement Sustainability Manager,Saab
"9/24/21, 5:41 AM",http://www.linkedin.com/jobs/view/2731125962,Bid and Proposal Manager,CTEK E-Mobility
"3/25/24, 3:21 AM",http://www.linkedin.com/jobs/view/3867992016,Bid Manager/Associate/Director,Alium
"3/30/25, 3:43 PM",http://www.linkedin.com/jobs/view/4187253875,Product Sales Responsible to Saab Training & Simulation!,Saab
"1/26/24, 5:13 AM",http://www.linkedin.com/jobs/view/3800263838,Filmare/Fotograf,Länsförsäkringar
"9/28/25, 10:48 PM",http://www.linkedin.com/jobs/view/4301787186,Bid Manager,Axentia Technologies AB
"1/9/25, 5:40 PM",http://www.linkedin.com/jobs/view/4104160382,Upphandlare till Jordbruksverket,Jordbruksverket
"3/17/25, 3:47 AM",http://www.linkedin.com/jobs/view/4184815856,Product Sales Representative to Saab Training & Simulation!,Saab
"4/22/25, 1:19 PM",http://www.linkedin.com/jobs/view/4104788252,Major Account Manager - Defence & Police,Fortinet
"8/29/24, 10:35 PM",http://www.linkedin.com/jobs/view/2789136436,Zoom Konsult - UCaaS,Visualised AB
"7/17/24, 3:34 PM",http://www.linkedin.com/jobs/view/3952875860,Strategisk inköpare till Jönköping Energi,Jönköping Energi
"8/10/25, 4:46 PM",http://www.linkedin.com/jobs/view/4259230593,Vi söker en Bid Manager för våra globala eftermarknadsaffärer!,Saab
"1/7/25, 1:18 AM",http://www.linkedin.com/jobs/view/4106711907,Strategisk inköpare till Plannja,Addpeople
"11/28/24, 4:28 PM",http://www.linkedin.com/jobs/view/4075608273,Projektledare inom hus till Linköping/Jönköping,Hifab
"3/11/24, 6:44 PM",http://www.linkedin.com/jobs/view/3778917159,,
"7/6/25, 10:31 PM",http://www.linkedin.com/jobs/view/4124332374,"Strategic Sales Manager (Digital Business Transformation Solutions), Nordics",Publicis Sapient
